,Length,Width,Height,Disp,Stress,-Disp,3000-Length,Score,Efficiency
0,4999.999608532841,1376.3000678785734,500.0000339145113,122.90607894597959,742.2248805975989,-122.90607894597959,-1999.9996085328412,0.5,True
9,3008.290260038184,1854.982354488885,1423.0241148820817,1.0414245289731827,47.39106316708329,-1.0414245289731827,-8.290260038183987,0.5,True
1,3000.9311156431772,1999.9806128364748,1174.4997664222856,1.5991611622591062,60.781406651812915,-1.5991611622591062,-0.931115643177236,0.5073473000902758,True
14,3584.6645434693337,1576.6594359104922,1357.302211487247,2.2440865719983933,71.9489945833172,-2.2440865719983933,-584.6645434693337,0.5127373850992332,False
11,4016.19834898914,1263.951800870396,1315.5725661545139,4.19972075159774,101.87160760639135,-4.19972075159774,-1016.19834898914,0.5262457977314889,False
13,3490.9661912337524,1527.6352143826275,1100.6141190107278,3.8438836974051633,102.06407392506286,-3.8438836974051633,-490.9661912337524,0.5278442640824297,False
4,4630.071146311962,1917.9220434750137,944.4093215355551,10.695388359352435,144.73617637477813,-10.695388359352435,-1630.0711463119624,0.5304398373515489,False
2,4999.963353773556,1953.6619289853388,716.1192633119684,29.66739468607392,253.6422049477139,-29.66739468607392,-1999.9633537735563,0.5309677572480856,False
6,4985.5994393926285,1438.8990487195651,1017.9702401605205,14.31200571163706,179.30831799078337,-14.31200571163706,-1985.5994393926285,0.5404791661671517,False
19,4243.002574374316,1721.6181056366765,863.9261028337594,11.97666110033648,168.06504999898507,-11.97666110033648,-1243.0025743743163,0.5419702639291437,False
3,4407.947461247996,1346.3588586779695,981.1153662421257,11.889252515967483,184.17625783572836,-11.889252515967483,-1407.9474612479962,0.5539224628544256,False
10,4712.1245211881305,1680.8186302643685,643.9545322012393,39.692566697702055,344.36707898819424,-39.692566697702055,-1712.1245211881305,0.5551206588602082,False
7,3233.996717267195,1964.0031984725201,670.9938794862493,9.801885191072559,183.24859647256076,-9.801885191072559,-233.99671726719498,0.5618192062127949,False
5,3662.040871814714,1821.5676723866843,557.663999974337,26.36666277368159,319.79404951255384,-26.36666277368159,-662.0408718147141,0.5921130085196091,False
2,4349.80671098732,1485.9784840144941,512.8458844132667,69.41575213611127,580.156613429305,-69.41575213611127,-1349.80671098732,0.6028423626330669,False
0,3836.3317838407584,1012.931455930261,798.0607816416104,19.239252986611568,308.32553588467346,-19.239252986611568,-836.3317838407584,0.613103443868033,False
17,3173.5240996526354,1081.467854605578,744.9693062411209,12.612000988578231,272.5485754437016,-12.612000988578231,-173.5240996526354,0.6145495017907452,False
